Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
Juan Artola,Juan Artola Canales,64,75,1300000,"CAM,ST",CAM,Spain,22,176,73,1679,360,Burgos CF
R. Wagner,Robert Wagner,64,75,1200000,"CM,CDM",CM,Germany,18,181,80,1648,359,Sport-Club Freiburg
T. Conway,Tommy Conway,64,80,1500000,ST,ST,England,19,178,68,1485,328,Bristol City
A. Durak,Abdullah Durak,64,64,160000,CDM,CAM,Turkey,35,181,80,1775,381,MKE Ankaragücü
D. Kurminowski,Dawid Kurminowski,64,73,1300000,ST,ST,Poland,23,182,73,1608,353,Zagłębie Lubin
O. Shodipo,Olamide Shodipo,64,67,800000,"LW,LWB",RM,Republic of Ireland,24,176,70,1620,353,Queens Park Rangers
K. Jackson,Kayden Jackson,64,64,600000,ST,RW,England,28,181,73,1603,354,Ipswich Town
Dai Weijun,Weijun Dai,64,73,1300000,CM,RM,China PR,22,175,75,1733,381,Shenzhen FC
J. Thomassen,Joachim Thomassen,64,64,210000,"LB,LWB",LB,Norway,34,180,78,1719,368,Sarpsborg 08 FF
G. Pashov,Georgi Pashov,64,64,400000,"RWB,RM",RWB,Bulgaria,32,184,74,1621,363,Petrolul Ploiești
K. Antonsen,Kent-Are Antonsen,64,64,625000,"CM,CB",CDM,Norway,27,172,70,1864,399,Tromsø IL
S. Renel,Samuel Renel,64,72,1300000,"CAM,LM",CAM,France,20,183,71,1697,357,Chamois Niortais Football Club
P. Coutts,Paul Coutts,64,64,300000,CDM,CDM,Scotland,33,183,75,1716,355,Bristol Rovers
J. Dörfler,Johannes Dörfler,64,66,675000,"RB,RM",RB,Germany,25,186,80,1704,378,SV Waldhof Mannheim 07
G. Fochive,George Fochive,64,64,500000,"CDM,CM",CB,United States,30,175,78,1613,356,Portland Timbers
D. Oshilaja,Deji Oshilaja,64,64,500000,CB,CB,England,29,181,75,1580,354,Burton Albion
R. Perea,Rodrigo Perea,64,64,300000,GK,GK,Ecuador,32,178,75,1001,361,Mushuc Runa
L. Cáceres,Luis Cáceres,64,67,675000,CB,CB,Paraguay,26,180,77,1468,311,Club Olimpia
D. Williams,David Williams,64,64,275000,"ST,LM",ST,Australia,34,174,72,1723,367,Perth Glory
M. Faßbender,Morgan Faßbender,64,72,1300000,"RM,LM",RM,Germany,23,188,78,1521,342,SV Meppen
Yang Shuai,Shuai Yang,64,69,775000,CB,CB,China PR,25,187,88,1472,316,Henan Songshan Longmen FC
M. Sema,Maic Sema,64,64,375000,"CF,RW",RW,Sweden,33,173,65,1693,358,IFK Norrköping
D. Löfquist,David Löfquist,64,64,230000,"CM,CF",CM,Sweden,35,189,88,1782,369,Mjällby AIF
D. Rojas,Daniel Rojas,64,73,1300000,"CM,CDM",CDM,Bolivia,22,169,71,1822,376,Club Deportivo Oriente Petrolero
J. Passaglia,Juan Pablo Passaglia,64,64,350000,"CM,CDM",CM,Argentina,33,181,75,1667,356,AFC Chindia Târgoviște
H. López Muñoz,Hernán López Muñoz,64,72,1300000,LM,CAM,Argentina,21,168,67,1590,343,Club Atlético Central Córdoba
G. Garner,Ged Garner,64,69,900000,ST,ST,England,23,180,73,1528,332,Fleetwood Town
Manuel Baldé,Manuel Mama Samba Baldé,64,74,1100000,GK,GK,Guinea Bissau,19,194,88,925,334,FC Vizela
L. Burge,Lee Burge,64,64,400000,GK,GK,England,29,190,70,1119,357,Northampton Town
Sun Ke,Ke Sun,64,64,475000,"RM,RW,LM",RM,China PR,32,180,78,1791,385,Shenzhen FC
J. Medina,Jonier Medina,64,71,1200000,"RM,RB",RM,Ecuador,22,183,79,1749,373,9 de Octubre
V. Dican,Victor Dican,64,73,1200000,"CB,CDM",CB,Romania,21,189,83,1642,359,FC Botoşani
J. Vera,José Vera,64,64,475000,"CM,CDM",CM,Paraguay,31,179,81,1707,353,General Caballero (JLM)
M. Kopczyński,Michał Kopczyński,64,64,500000,"CDM,CM",CDM,Poland,30,180,70,1658,352,Warta Poznań
Rai Marchán,Raimon Marchán Vidal,64,64,525000,"CDM,CM",CDM,Spain,28,181,67,1496,320,Melbourne Victory
M. Romero,Manuel Romero,64,65,550000,CB,CB,Paraguay,29,175,74,1402,299,General Caballero (JLM)
K. Tapoko,Kevin Tapoko,64,65,575000,"CDM,CM",CDM,France,28,196,90,1625,351,Stade Lavallois Mayenne FC
Yang Xiaotian,Xiaotian Yang,64,64,400000,LB,LB,China PR,32,178,75,1729,374,Shijiazhuang Ever Bright F.C.
M. Frey,Marlon Frey,64,67,750000,"CM,CB",CDM,Germany,26,181,78,1762,370,MSV Duisburg
C. Baird,Corey Baird,64,64,650000,"RM,ST",ST,United States,26,178,73,1672,359,Houston Dynamo
A. Ibacache,Alex Ibacache,64,73,1200000,"LB,LM",LWB,Chile,23,175,75,1630,367,CD Everton de Viña del Mar
J. Hungbo,Joseph Hungbo,64,76,1400000,"RM,LM",CAM,England,22,173,70,1604,349,Watford
E. Maciel,Emanuel Maciel,64,69,775000,"CDM,CM",CDM,Argentina,25,180,74,1634,340,Club Atlético Aldosivi
A. Al Zori,Abdullah Al Zori,64,64,190000,"CB,LWB,LB",CB,Saudi Arabia,34,184,69,1621,351,Abha Club
C. Chukwuemeka,Carney Chukwuemeka,64,86,1900000,"CM,CAM,CF",CAM,England,18,185,70,1685,364,Chelsea
Ethyan,Ethyan Jesús González Morales,64,77,1400000,ST,ST,Spain,20,185,75,1590,337,Atlético de Madrid
Y. Lagha,Yannis Lagha,64,82,1500000,ST,ST,Algeria,18,185,78,1536,328,Olympique Lyonnais
W. Kurtović,William Kurtović,64,67,750000,"CM,CDM",CM,Sweden,26,190,85,1737,372,Sandefjord Fotball
S. McLoughlin,Shane McLoughlin,64,66,725000,"CM,RWB",RM,Republic of Ireland,25,175,70,1778,381,Morecambe
J. Drachmann,Janus Drachmann,64,64,200000,"CDM,CM",CDM,Denmark,34,179,71,1718,358,AC Horsens
C. Dima,Constantin Dima,64,69,825000,CB,CB,Romania,22,182,76,1580,348,AFC Chindia Târgoviște
T. Savin,Toby Savin,64,74,1100000,GK,GK,England,21,194,84,1200,364,Accrington Stanley
R. Saucedo,Rodrigo Saucedo,64,70,875000,"RB,CB",RB,Bolivia,23,178,75,1701,357,Club Deportivo Oriente Petrolero
P. Owusu,Prince Osei Owusu,64,68,825000,ST,ST,Germany,25,190,89,1506,336,SSV Jahn Regensburg
A. Babacan,Alperen Babacan,64,71,1100000,"CB,RB",CB,Turkey,24,185,81,1586,344,MKE Ankaragücü
T. Bu Haymid,Tawfiq Bu Haymid,64,64,210000,LB,LB,Saudi Arabia,34,168,68,1822,380,Al Fateh
Jeong Seung Won,Seung Won Jeong,64,67,775000,"CM,RM",RWB,Korea Republic,25,170,68,1848,387,Suwon Samsung Bluewings
B. Austin,Brandon Austin,64,72,1100000,GK,GK,England,23,188,75,920,346,Tottenham Hotspur
M. Blauensteiner,Michael Blauensteiner,64,64,575000,"RB,RWB",RB,Austria,27,180,79,1690,365,SK Austria Klagenfurt
Zhu Jianrong,Jianrong Zhu,64,64,575000,ST,ST,China PR,30,185,82,1652,347,Shanghai Shenhua FC
T. Corbaz,Thibault Corbaz,64,64,525000,"CDM,CM",CDM,Switzerland,28,180,72,1704,367,FC Winterthur
N. Tafari,Nkosi Tafari,64,67,700000,"CB,RB",CB,United States,25,193,84,1470,330,FC Dallas
A. Helac,Ammar Helac,64,68,675000,GK,GK,Austria,24,190,87,888,352,Austria Lustenau
J. Rocchi,Jean-Jacques Rocchi,64,64,375000,"LM,LWB,CAM",LM,France,33,170,64,1619,335,FC Annecy
M. Litka,Maurice Litka,64,65,700000,"LM,CAM",LW,Germany,26,180,67,1602,343,F.C. Hansa Rostock
L. Šimić,Lorenco Šimić,64,67,700000,CB,CB,Croatia,25,195,89,1399,296,Ascoli
M. Andersen,Mikkel Andersen,64,64,190000,GK,GK,Denmark,33,195,80,1114,346,Viborg FF
V. Xenopoulos,Vasilios Xenopoulos,64,70,750000,GK,GK,Greece,24,185,84,1028,345,Panathinaikos FC
C. Moros Gracia,Carlos Moros Gracia,64,65,550000,CB,CB,Spain,29,183,79,1521,332,Mjällby AIF
R. Hernández,Ronald Hernández,64,71,1100000,"RB,RWB,RM",RB,Venezuela,24,170,70,1600,352,Atlanta United
L. Gütlbauer,Lukas Gütlbauer,64,73,1100000,GK,GK,Austria,21,191,80,1014,349,RZ Pellets Wolfsberger AC
I. Gharbi,Ismaël Gharbi,64,78,1400000,"LW,CAM",CAM,Spain,18,167,58,1601,333,Paris Saint-Germain
K. Perrot,Kévin Perrot,64,64,300000,"RB,LB,RWB",RB,France,33,170,65,1582,337,Stade Lavallois Mayenne FC
P. Kirkevold,Pål Alexander Kirkevold,64,64,500000,ST,ST,Norway,31,185,90,1717,357,Hamarkameratene
N. Ruíz,Nicolás Ruíz,64,69,875000,"RW,ST",ST,Venezuela,24,184,83,1633,349,Metropolitanos de Caracas FC
A. Ramsey,Aaron Ramsey,64,80,1500000,CM,CAM,England,19,181,73,1723,371,Norwich City
L. Schnellbacher,Luca Schnellbacher,64,64,600000,"ST,LM",ST,Germany,28,180,76,1630,357,SV Elversberg
P. Sweeney,Pierce Sweeney,64,65,600000,CB,CB,Republic of Ireland,27,183,80,1695,362,Exeter City
A. Abdallah,Abdel Hakim Abdallah,64,69,825000,"LB,LWB,LM",LB,Comoros,24,170,68,1690,357,Rodez Aveyron Football
B. Waine,Ben Waine,64,75,1300000,ST,ST,New Zealand,21,179,78,1742,372,Wellington Phoenix
A. Chopitea,Agustín Chopitea,64,72,1200000,"RB,LB",RB,Uruguay,23,178,70,1634,337,Club Atlético River Plate
N. Fogaça,Nathan Fogaça,64,71,1200000,ST,ST,Brazil,23,178,73,1459,317,Portland Timbers
C. Paterson,Callum Paterson,64,64,625000,ST,ST,Scotland,27,187,76,1773,379,Sheffield Wednesday
S. Nicholson,Sam Nicholson,64,64,625000,"LM,RM",LM,Scotland,27,175,71,1686,364,Colorado Rapids
K. McAllister,Kyle McAllister,64,69,875000,"RM,ST",CAM,Scotland,23,175,75,1715,372,Forest Green Rovers
T. Ballo,Thierno Ballo,64,74,1300000,"RM,CAM,CM",CAM,Austria,20,172,60,1568,341,RZ Pellets Wolfsberger AC
J. Tunnicliffe,Jordan Tunnicliffe,64,64,500000,CB,CB,England,28,185,82,1423,314,Wrexham AFC
A. Saipi,Amir Saipi,64,76,1300000,GK,GK,Switzerland,21,194,84,937,345,FC Lugano
J. Gaari,Juriën Gaari,64,64,500000,"CB,RWB",CB,Curacao,28,181,73,1657,365,RKC Waalwijk
B. Heneghan,Ben Heneghan,64,64,500000,CB,CB,England,28,191,79,1331,289,Sheffield Wednesday
N. Delgadillo,Nicolás Delgadillo,64,69,875000,"LM,LW",LM,Argentina,24,177,70,1584,350,Platense
R. Benzar,Romario Benzar,64,64,500000,RB,RB,Romania,30,180,73,1729,365,FC Farul Constanța
M. Raynov,Martin Raynov,64,64,500000,"CDM,CM",CB,Bulgaria,30,183,74,1711,358,Campionii FC Arges
R. Tachie,Richmond Tachie,64,69,900000,"ST,RM",ST,Germany,23,177,70,1651,355,SC Paderborn 07
G. Nápoli,Gonzalo Nápoli,64,72,1300000,CM,LWB,Uruguay,22,176,70,1724,369,Club Atlético River Plate
K. Rowe,Kelyn Rowe,64,64,550000,"CM,RM,RWB",CM,United States,30,173,68,1817,369,Seattle Sounders FC
S. Sidler,Silvan Sidler,64,71,1100000,"RWB,LWB",RWB,Switzerland,23,185,76,1721,368,DSC Arminia Bielefeld
B. Chorbadzhiyski,Bozhidar Chorbadzhiyski,64,66,650000,CB,CB,Bulgaria,26,195,78,1401,305,Widzew Łódź
I. Prtajin,Ivan Prtajin,64,67,775000,ST,ST,Croatia,26,189,87,1540,330,SV Wehen Wiesbaden
M. Grzybek,Mateusz Grzybek,64,66,675000,"RB,RM",RM,Poland,26,178,68,1654,364,Radomiak Radom
C. Volpato,Cristian Volpato,64,82,1500000,CAM,CAM,Italy,18,187,75,1610,346,Roma
Peter Abradanel,Peter Nivaldo Abradanel Espín,64,64,60000,GK,GK,Brazil,38,187,85,1115,366,América Futebol Clube
J. Podgórski,Jacek Podgórski,64,65,700000,"RM,LM",RM,Poland,26,180,72,1802,389,Korona Kielce
Pedro Bicalho,Pedro Henrique Rodrigues Bicalho,64,77,1400000,"CM,CDM",CAM,Brazil,21,178,73,1771,383,Santa Clara
H. Odoffin,Hakeem Odoffin,64,68,775000,CDM,CB,England,24,191,81,1646,368,Rotherham United
D. Bielica,Daniel Bielica,64,69,700000,GK,GK,Poland,23,191,80,986,349,Górnik Zabrze
E. Sylvestre,Eddy Sylvestre,64,73,1300000,"RM,LM",LM,France,22,173,69,1590,330,Pau FC
P. Petkovski,Petar Petkovski,64,65,700000,"LW,RW",LW,North Macedonia,25,170,62,1688,350,FC Botoşani
A. Lagos,Agustín Lagos,64,77,1300000,"RB,RM",RB,Argentina,20,178,73,1513,329,Atlético Tucumán
P. Riese,Philipp Riese,64,64,400000,"CDM,CM",CDM,Germany,32,175,68,1699,344,FC Erzgebirge Aue
F. Di Tacchio,Francesco Di Tacchio,64,64,450000,"CM,CDM",CDM,Italy,32,186,81,1723,364,Ternana
M. Popescu,Mihai Popescu,64,65,550000,CB,CB,Romania,29,188,83,1426,308,FC Farul Constanța
L. Martínez Dupuy,Luca Martínez Dupuy,64,77,1400000,ST,ST,Mexico,21,178,70,1527,328,Rosario Central
Pablo Rodríguez,Pablo Rodríguez Delgado,64,77,1400000,"ST,LW",ST,Spain,20,178,70,1489,312,Lecce
R. McKenzie,Rory McKenzie,64,64,600000,"LM,RM,CM",LM,Scotland,28,175,75,1766,375,Kilmarnock
H. Tabakovic,Haris Tabakovic,64,64,600000,ST,ST,Switzerland,28,194,90,1459,309,FK Austria Wien
J. Figueroa,Julián Figueroa,64,64,500000,CDM,CDM,Colombia,29,178,80,1648,366,Hermanos Colmenarez
J. Hardeveld,Jeff Hardeveld,64,65,625000,LB,CB,Netherlands,27,184,76,1677,348,FC Emmen
N. Vesterlund,Niklas Vesterlund,64,71,1100000,"RWB,RM,LWB",RWB,Denmark,23,185,80,1683,369,Tromsø IL
A. Ståhl,Adam Ståhl,64,64,575000,"RWB,RM",RWB,Sweden,27,187,75,1755,381,Mjällby AIF
Luís Santos,Luís Miguel Castelo Santos,64,73,1300000,"LW,RW",LW,Portugal,22,176,68,1664,352,Boavista FC
A. Hayden,Aaron Hayden,64,68,725000,CB,CB,England,25,185,79,1499,332,Wrexham AFC
L. Hemmerich,Luke Hemmerich,64,68,775000,"RB,RM",RM,Germany,24,180,70,1798,382,SpVgg Bayreuth
A. Peláez,Anuar Peláez,64,64,575000,ST,ST,Colombia,29,185,81,1604,331,Hermanos Colmenarez
J. Brophy,James Brophy,64,64,625000,LM,LM,England,27,180,72,1714,381,Cambridge United
G. Gbellé,Garland Gbellé,64,64,575000,"CM,CAM",CM,France,29,179,75,1742,372,US Quevilly Rouen Métropole
T. Grøgaard,Thomas Grøgaard,64,64,525000,LB,LB,Norway,28,180,73,1713,360,Strømsgodset IF
S. Britos,Sebastián Britos,64,64,100000,GK,GK,Uruguay,34,190,87,1056,338,Liverpool Fútbol Club
M. Carayol,Mustapha Carayol,64,64,375000,"LM,RM,ST",LM,Gambia,33,177,74,1565,343,Burton Albion
L. Lissens,Lucas Lissens,64,73,1200000,CB,CB,Belgium,20,184,74,1497,327,RSC Anderlecht
Derik Lacerda,Derik Gean Severino Lacerda,64,72,1300000,"ST,LM,RM",ST,Brazil,22,191,83,1570,342,SD Ponferradina
T. Pearce,Tom Pearce,64,68,775000,"LWB,LB",LWB,England,24,185,70,1700,366,Wigan Athletic
K. Goudmijn,Kenzo Goudmijn,64,76,1400000,"CAM,CM,LM",CAM,Netherlands,20,173,58,1720,362,Excelsior
S. Lammens,Senne Lammens,64,75,1100000,GK,GK,Belgium,19,193,92,960,334,Club Brugge KV
Yoo Hyun,Hyun Yoo,64,64,60000,GK,GK,Korea Republic,37,184,82,1186,375,Suwon FC
J. Grimaldo,Joao Grimaldo,64,83,1500000,"CAM,RW",CAM,Peru,19,175,73,1619,350,Club Sporting Cristal
M. Pašalić,Marco Pašalić,64,73,1300000,"LM,RM",LM,Croatia,21,177,74,1641,347,Borussia Dortmund II
Dani Lorenzo,Daniel Lorenzo Guerrero,64,76,1400000,"CM,CAM",CM,Spain,19,176,68,1684,351,Málaga CF
D. Mendoza,David Mendoza,64,64,100000,"CB,LB",CB,Paraguay,37,180,79,1544,327,Guaireña FC
Jeon Jin Woo,Jin Woo Jeon,64,70,950000,"LW,ST,CM",LW,Korea Republic,22,182,69,1541,335,Suwon Samsung Bluewings
J. Carolina,Jurich Carolina,64,69,825000,LB,LWB,Curacao,23,178,79,1649,356,Miedź Legnica
J. Coppens,Jo Coppens,64,64,300000,GK,GK,Belgium,31,191,87,1084,358,Sint-Truidense VV
Park Hyeong Jin,Hyeong Jin Park,64,64,375000,"CB,LM,CM",CB,Korea Republic,32,183,75,1713,374,Suwon Samsung Bluewings
M. Clark,Max Clark,64,65,625000,"LB,LWB",LB,England,26,180,73,1752,376,Stevenage
Diego Fuoli,Diego Lázaro Fuoli,64,72,1100000,GK,GK,Spain,24,188,79,956,348,Unión Deportiva Almería
Lee Jong Ho,Jong Ho Lee,64,64,575000,"ST,CAM,LM",ST,Korea Republic,30,180,77,1755,369,Seongnam FC
B. Bjarnason,Brynjar Ingi Bjarnason,64,74,1200000,CB,CB,Iceland,22,194,88,1436,317,Vålerenga Fotball
Iker Bravo,Iker Bravo Solanilla,64,83,1500000,"ST,RM",ST,Spain,17,184,79,1528,325,Real Madrid CF
T. Hacımustafaoğlu,Tahsin Hacımustafaoğlu,64,69,875000,"LW,RW,LB",ST,Turkey,24,180,80,1795,390,Ümraniyespor
Y. Boé-Kane,Yann Boé-Kane,64,64,400000,"CDM,CB",CB,France,31,185,76,1674,356,US Quevilly Rouen Métropole
M. Penney,Matt Penney,64,67,750000,LWB,LM,England,24,172,64,1801,372,Motherwell
D. Margush,Daniel Margush,64,68,675000,GK,GK,Australia,24,187,80,985,349,Western Sydney Wanderers
R. Lamie,Ricki Lamie,64,64,500000,"CB,LB",CB,Scotland,29,189,91,1506,327,Motherwell
Gonçalo Cardoso,Gonçalo Bento Soares Cardoso,64,72,1200000,CB,CB,Portugal,21,189,83,1370,295,Clube Sport Marítimo
H. Nicolussi Caviglia,Hans Nicolussi Caviglia,64,75,1300000,"CM,CAM",CAM,Italy,22,184,70,1687,356,Südtirol
J. Burić,Jasmin Burić,64,64,60000,GK,GK,Bosnia and Herzegovina,35,193,80,1022,336,Zagłębie Lubin
F. Pfanne,Franz Pfanne,64,65,600000,"CDM,CB",CB,Germany,27,187,82,1627,349,Borussia Dortmund II
N. Al Mousa,Nouh Al Mousa,64,64,400000,"CDM,CM",CDM,Saudi Arabia,31,169,70,1706,359,Al Fateh
C. Randall,Connor Randall,64,65,625000,"RB,LB",RB,England,26,180,76,1643,360,Ross County FC
D. Kemp,Dan Kemp,64,69,875000,"LW,CAM",CAM,England,23,168,63,1584,331,Milton Keynes Dons
S. Santoro,Simone Santoro,64,72,1300000,"CM,CAM",CAM,Italy,22,181,74,1805,385,Perugia
M. Kröpfl,Mario Kröpfl,64,64,475000,"LM,RM,CAM",LM,Austria,32,182,72,1715,360,TSV Egger Glas Hartberg
M. Smith,Matt Smith,64,64,375000,ST,ST,England,33,198,91,1510,313,Salford City
A. Ugur,Adnan Ugur,64,75,1300000,"CM,CDM",CAM,Belgium,21,174,68,1809,381,Fatih Karagümrük S.K.
P. Koopmeiners,Peer Koopmeiners,64,76,1400000,"CDM,CM,CB",CDM,Netherlands,22,186,78,1619,344,AZ Alkmaar
O. Sijarić,Omar Sijarić,64,73,1300000,"LM,RM,CAM",CAM,Montenegro,20,179,71,1638,358,FC Erzgebirge Aue
L. van Gelderen,Liam van Gelderen,64,73,1300000,"RB,CB",RB,Netherlands,21,178,72,1623,352,FC Groningen
A. Pejić,Aleksa Pejić,64,70,875000,CDM,CDM,Serbia,22,190,80,1574,347,SK Rapid Wien
B. Kallman,Brent Kallman,64,64,400000,CB,CB,United States,31,188,86,1479,312,Minnesota United FC
M. Wolski,Maciej Wolski,64,67,725000,"RWB,RM",RWB,Poland,25,176,67,1645,357,PGE FKS Stal Mielec
C. Kinsombi,Christian Kinsombi,64,72,1300000,"LM,RM",RM,Germany,22,177,70,1549,336,SV Sandhausen
J. Mercado,Juan Mercado,64,69,775000,"CDM,RB",CDM,Bolivia,25,177,74,1765,376,Club Deportivo Oriente Petrolero
D. Redzic,Damir Redzic,64,81,1500000,"ST,CAM",ST,Hungary,19,172,62,1623,341,Ferencvárosi TC
I. Bronkhorst,Ilias Bronkhorst,64,67,725000,RB,RB,Netherlands,25,185,76,1622,359,N.E.C. Nijmegen
Jin Taiyan,Taiyan Jin,64,64,400000,"LB,RB",LB,China PR,32,173,62,1622,353,Beijing Guoan FC
Kim Min Hyeok,Min Hyeok Kim,64,64,575000,"CM,RM,CF",CM,Korea Republic,29,182,65,1699,359,Seongnam FC
K. Appin,Kévin Appin,64,71,1100000,"CDM,CM,CAM",CDM,France,24,177,71,1730,372,UD Ibiza
S. Salinas,Shea Salinas,64,64,190000,"LM,LB",LM,United States,36,180,73,1717,369,San Jose Earthquakes
A. Araque,Armando Araque,64,64,375000,ST,ST,Venezuela,33,183,81,1533,325,Estudiantes de Mérida
L. Larsen,Lars Olden Larsen,64,70,925000,"RW,LW",RM,Norway,23,175,74,1728,373,BK Häcken
Raúl Moro,Raúl Moro Prescoli,64,80,1500000,LW,CAM,Spain,19,168,60,1465,317,Ternana
Wang Shenchao,Shenchao Wang,64,64,275000,"CB,RM",CB,China PR,33,180,72,1648,355,Shanghai Port FC
M. Lund,Marco Lund,64,68,725000,CB,CB,Denmark,26,183,87,1580,334,IFK Norrköping
Leonardo Freijão,Leonardo Miguel Freijão Jasper,64,64,575000,"CDM,CM,CAM",CB,Brazil,26,176,72,1577,316,Ceará Sporting Club
C. Özkan,Can Özkan,64,70,875000,"CDM,RB",CDM,Germany,22,180,88,1695,370,Borussia Dortmund II
K. Nsona,Kélian Nsona,64,76,1400000,"LM,RM",RM,France,20,189,74,1471,340,Hertha BSC
D. Luna,Daniel Luna,64,79,1400000,CAM,CAM,Colombia,19,179,66,1529,323,Deportivo Cali
R. Brand,Rafael Brand,64,64,625000,"RM,CF",RM,Germany,27,175,68,1604,341,VfB Oldenburg
H. Stenevik,Halldor Stenevik,64,75,1300000,"RW,RB",RM,Norway,22,185,70,1666,364,Strømsgodset IF
I. Filip,Ioan Filip,64,64,300000,"CDM,CB",CDM,Romania,33,187,80,1518,323,Universitatea Cluj
J. Turnbull,Jordan Turnbull,64,64,550000,CB,CB,England,27,185,72,1468,316,Tranmere Rovers
J. Gomez,James Gomez,64,76,1300000,CB,CB,Gambia,20,189,80,1555,338,AC Horsens
C. Montoya,Carlos Montoya,64,72,1200000,CB,CB,Peru,20,176,78,1392,297,Club Alianza Lima
Ramón Juan,Ramón Juan Ramírez,64,71,1000000,GK,GK,Spain,22,179,79,913,339,CD Mirandés
E. Dieye,El Hadji Dieye,64,75,1300000,RM,RM,Senegal,20,182,75,1621,357,AS Saint-Étienne
P. Cros,Pierrick Cros,64,64,475000,CB,CB,France,30,185,77,1558,331,Stade Lavallois Mayenne FC
E. Hoxhallari,Erjon Hoxhallari,64,69,775000,"CB,LB",CB,Albania,26,183,74,1529,344,AFC UTA Arad
A. Linguet,Allan Linguet,64,71,1100000,"RWB,RB",RWB,France,22,176,69,1545,332,Valenciennes FC
Fran González,Francisco González Verjara,64,72,1200000,CB,CB,Spain,23,188,81,1392,303,Atlético de Madrid
A. Toufiqui,Azzeddine Toufiqui,64,70,925000,"CAM,CM",CAM,France,23,175,69,1672,359,FC Emmen
Jair,Jair Tavares da Silva,64,64,625000,CM,RM,Brazil,27,174,68,1826,389,Petrolul Ploiești
M. Amini,Mustafa Amini,64,64,575000,"CM,CDM",CM,Australia,29,173,71,1785,373,Perth Glory
Daniel Queipo,Daniel Queipo Menéndez,64,77,1400000,LM,RM,Spain,20,168,64,1560,336,Real Sporting de Gijón
L. Annese,Luis Annese,64,64,575000,"ST,RW",ST,Venezuela,29,176,72,1613,336,Metropolitanos de Caracas FC
T. Monyane,Thabiso Monyane,64,75,1300000,"RB,RWB,RM",RM,South Africa,22,175,68,1768,378,Orlando Pirates
T. Nsiala,Toto Nsiala,64,64,475000,CB,CB,Congo DR,30,193,83,1541,347,Fleetwood Town
Álvaro Fernández,Álvaro Fernández Carreras,64,81,1500000,"LWB,LB",LM,Spain,19,186,65,1696,367,Preston North End
E. Penilla,Edison Penilla,64,67,675000,CB,CB,Venezuela,26,192,95,1432,314,Estudiantes de Mérida
Koldo Obieta,Koldo Obieta Alberdi,64,64,600000,ST,ST,Spain,28,187,82,1476,309,Miedź Legnica
A. Faltsetas,Alexander Faltsetas,64,64,275000,"CM,CDM",CB,Sweden,34,181,79,1810,371,Helsingborgs IF
A. Aganović,Adnan Aganović,64,64,275000,"CAM,CM",CAM,Croatia,34,180,76,1709,356,Sepsi OSK Sf. Gheorghe
J. Pritchard,Joe Pritchard,64,65,700000,"RM,RWB,LWB",RM,England,25,174,66,1775,379,Accrington Stanley
Y. Baldé,Yasser Baldé,64,65,550000,CB,CB,France,29,190,86,1343,295,Stade Lavallois Mayenne FC
E. Knudtzon,Erling Knudtzon,64,64,300000,"RWB,RM",RWB,Norway,33,178,70,1769,385,Molde FK
K. Eisele,Kai Eisele,64,66,525000,GK,GK,Germany,27,191,76,895,340,Karlsruher SC
E. Engelhardt,Erik Engelhardt,64,67,800000,ST,ST,Germany,24,179,78,1640,353,VfL Osnabrück
F. Twardzik,Filip Twardzik,64,64,500000,"CB,LB,LM",CB,Czech Republic,29,186,88,1766,369,LASK Linz
S. Ibeagha,Sebastien Ibeagha,64,64,475000,CB,CB,United States,30,188,85,1388,319,Los Angeles FC
G. Marsh,George Marsh,64,72,1200000,CDM,CDM,England,23,178,68,1717,367,AFC Wimbledon
Q. Jansen,Quint Jansen,64,64,400000,CB,CB,Netherlands,31,193,85,1437,304,Sandefjord Fotball
L. Terán,Luis Terán,64,66,500000,GK,GK,Venezuela,28,175,75,978,338,Hermanos Colmenarez
Valera,Germán Valera Karabinaite,64,77,1400000,"RM,LM",LM,Spain,20,170,69,1555,331,FC Andorra
M. Godoy,Matías Godoy,64,80,1500000,"RM,LM,RW",ST,Argentina,20,172,68,1593,345,Club Atlético Talleres
A. Forson,Amankwah Forson,64,81,1500000,"RW,CAM,RM",LM,Ghana,19,173,62,1581,344,SC Rheindorf Altach
T. Arconte,Taïryk Arconte,64,78,1400000,"RM,ST",ST,France,18,181,76,1592,345,Stade Brestois 29
B. Cespedes,Boris Cespedes,64,67,675000,"CDM,CM",CDM,Bolivia,27,181,72,1694,368,Servette FC
C. Telo,Christopher Telo,64,64,400000,"LWB,LB",LWB,Sweden,32,172,72,1699,354,IFK Norrköping
I. Määttä,Isak Dybvik Määttä,64,76,1300000,LB,LM,Norway,20,188,72,1700,371,FC Groningen
N. Koffi,N'Dri Philippe Koffi,64,78,1400000,ST,ST,France,20,187,81,1530,331,FC Paços de Ferreira
N. Landgraf,Niklas Landgraf,64,67,700000,"LWB,CB,CDM",LWB,Germany,26,180,68,1690,359,Hallescher FC
J. Iredale,Jack Iredale,64,67,700000,"LWB,CB,LB",CB,Australia,26,184,70,1677,361,Bolton Wanderers
H. White,Harvey White,64,78,1300000,"CDM,CM",LM,England,20,178,70,1842,382,Tottenham Hotspur
M. Kvistgaarden,Mathias Kvistgaarden,64,75,1300000,ST,ST,Denmark,20,175,68,1724,366,Brøndby IF
